"dataset","configuration","seed","calibration","nonempty_bin_index","mean_confidence","observed_accuracy","sample_fraction"
"NPD-Rice-COCO-43","dual_none","2026","temperature_scaled","7","0.8363624532126704","0.7352941176470589","0.0036429872495446266"
"NPD-Rice-COCO-43","dual_none","2026","temperature_scaled","8","0.9012888067316723","0.855072463768116","0.007393121182899389"
"NPD-Rice-COCO-43","dual_none","2026","temperature_scaled","9","0.9994215676106444","0.9982515572068626","0.9804993035465552"
"NPD-Rice-COCO-43","dual_none","2027","raw","0","0.4401036343215039","0.0","0.0003214400514304082"
"NPD-Rice-COCO-43","dual_none","2027","raw","1","0.5167318282095503","0.5714285714285714","0.0007500267866709525"
"NPD-Rice-COCO-43","dual_none","2027","raw","2","0.5538476736313118","0.75","0.0008571734704810886"
"NPD-Rice-COCO-43","dual_none","2027","raw","3","0.6350533535260612","0.75","0.0004285867352405443"
"NPD-Rice-COCO-43","dual_none","2027","raw","4","0.6932650442549686","0.4444444444444444","0.0009643201542912247"
"NPD-Rice-COCO-43","dual_none","2027","raw","5","0.7615425310896603","0.75","0.0004285867352405443"
"NPD-Rice-COCO-43","dual_none","2027","raw","6","0.8224629042879189","0.7272727272727273","0.0011786135219114969"
"NPD-Rice-COCO-43","dual_none","2027","raw","7","0.8969879723935505","0.6818181818181818","0.0023572270438229938"
"NPD-Rice-COCO-43","dual_none","2027","raw","8","0.9996285884959474","0.9971937398812736","0.9927140255009107"
"NPD-Rice-COCO-43","dual_none","2027","temperature_scaled","0","0.3835419821897457","0.0","0.0003214400514304082"
"NPD-Rice-COCO-43","dual_none","2027","temperature_scaled","1","0.457615120823834","0.6","0.0005357334190506804"
"NPD-Rice-COCO-43","dual_none","2027","temperature_scaled","2","0.49365459862226263","0.5384615384615384","0.001392906889531769"
"NPD-Rice-COCO-43","dual_none","2027","temperature_scaled","3","0.576260066093388","0.5714285714285714","0.0007500267866709525"
"NPD-Rice-COCO-43","dual_none","2027","temperature_scaled","4","0.6224517978978754","0.75","0.0008571734704810886"
"NPD-Rice-COCO-43","dual_none","2027","temperature_scaled","5","0.7022363431134783","0.6666666666666666","0.0016072002571520412"
"NPD-Rice-COCO-43","dual_none","2027","temperature_scaled","6","0.7726799142099197","0.7647058823529411","0.0018214936247723133"
"NPD-Rice-COCO-43","dual_none","2027","temperature_scaled","7","0.8406456790277763","0.7741935483870968","0.0033215471981142184"
"NPD-Rice-COCO-43","dual_none","2027","temperature_scaled","8","0.9062481658398531","0.8901098901098901","0.009750348226722383"
"NPD-Rice-COCO-43","dual_none","2027","temperature_scaled","9","0.9992504172391089","0.9990156403806191","0.9796421300760741"
"NPD-Rice-COCO-43","dual_none","2028","raw","0","0.4229836846630046","0.3333333333333333","0.0003214400514304082"
"NPD-Rice-COCO-43","dual_none","2028","raw","1","0.5157302791791238","0.75","0.0004285867352405443"
"NPD-Rice-COCO-43","dual_none","2028","raw","2","0.563906643487005","0.42857142857142855","0.0007500267866709525"
"NPD-Rice-COCO-43","dual_none","2028","raw","3","0.6339049216708089","0.5","0.0006428801028608164"
"NPD-Rice-COCO-43","dual_none","2028","raw","4","0.7009293454672856","0.7142857142857143","0.0007500267866709525"
"NPD-Rice-COCO-43","dual_none","2028","raw","5","0.769628315505899","0.6923076923076923","0.001392906889531769"
"NPD-Rice-COCO-43","dual_none","2028","raw","6","0.8347925883533018","0.8666666666666667","0.0016072002571520412"
"NPD-Rice-COCO-43","dual_none","2028","raw","7","0.9150264939801842","0.8125","0.0034286938819243543"
"NPD-Rice-COCO-43","dual_none","2028","raw","8","0.999533963109134","0.9968635085442353","0.9906782385085182"
"NPD-Rice-COCO-43","dual_none","2028","temperature_scaled","0","0.3633689381371449","0.5","0.00021429336762027214"
"NPD-Rice-COCO-43","dual_none","2028","temperature_scaled","1","0.4023871088332492","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","dual_none","2028","temperature_scaled","2","0.5009594567557311","0.6666666666666666","0.0009643201542912247"
"NPD-Rice-COCO-43","dual_none","2028","temperature_scaled","3","0.566762226328724","0.45454545454545453","0.0011786135219114969"
"NPD-Rice-COCO-43","dual_none","2028","temperature_scaled","4","0.6347652924240995","0.7857142857142857","0.001500053573341905"
"NPD-Rice-COCO-43","dual_none","2028","temperature_scaled","5","0.6951311988346006","0.8333333333333334","0.0012857602057216328"
"NPD-Rice-COCO-43","dual_none","2028","temperature_scaled","6","0.767031543760623","0.8235294117647058","0.0018214936247723133"
"NPD-Rice-COCO-43","dual_none","2028","temperature_scaled","7","0.8362629018966609","0.7391304347826086","0.004928747455266259"
